text,text_lower,lemma,lemma_lower,part_of_speech,is_alphabet,is_stopword
Lundi,lundi,lundi,lundi,NOUN,True,False
à,à,à,à,ADP,True,True
20h30,20h30,20h30,20h30,NUM,False,False
c',c',ce,ce,PRON,False,True
est,est,être,être,AUX,True,True
mon,mon,mon,mon,DET,True,True
émission,émission,émission,émission,NOUN,True,False
Twitch,twitch,Twitch,twitch,PROPN,True,False
"""","""","""","""",PUNCT,False,False
301,301,301,301,NUM,False,False
vues,vues,voir,voir,ADJ,True,False
"""","""","""","""",PUNCT,False,False
sur,sur,sur,sur,ADP,True,True
@LeStreamFR,@lestreamfr,@lestreamfr,@lestreamfr,NOUN,False,False
!,!,!,!,PUNCT,False,False
Mes,mes,mon,mon,DET,True,True
invités,invités,invité,invité,NOUN,True,False
seront,seront,être,être,AUX,True,True
@Baptiste_Lorber,@baptiste_lorber,@baptiste_lorber,@baptiste_lorber,SCONJ,False,False
&,&,et,et,CCONJ,False,False
amp,amp,amp,amp,NOUN,True,False
;,;,;,;,PUNCT,False,False
@Mectoob,@mectoob,@mectoob,@mectoob,NOUN,False,False
…,…,…,…,NUM,False,False
https://t.co/pwUNudbC5,https://t.co/pwunudbc5,https://t.co/pwunudbc5,https://t.co/pwunudbc5,NOUN,False,False
G,g,gramme,gramme,NOUN,True,False
@Meian_editeur,@meian_editeur,@meian_editeur,@meian_editeur,NOUN,False,False
Ça,ça,ça,ça,DET,True,True
marche,marche,marche,marche,NOUN,True,False
!,!,!,!,PUNCT,False,False
Je,je,je,je,PRON,True,True
cours,cours,courir,courir,VERB,True,False
🏃,🏃,🏃,🏃,VERB,False,False
‍,‍,‍,‍,PROPN,False,False
♂,♂,♂,♂,NOUN,False,False
️,️,️,️,ADJ,False,False
💨,💨,💨,💨,NOUN,False,False
C’,c’,C’,c’,PROPN,False,True
est,est,être,être,AUX,True,True
bon,bon,bon,bon,ADJ,True,False
on,on,on,on,PRON,True,True
a,a,avoir,avoir,AUX,True,True
parlé,parlé,parler,parler,VERB,True,False
⬇,⬇,⬇,⬇,PROPN,False,False
️,️,️,️,ADJ,False,False
"
","
","
","
",SPACE,False,False
https://t.co/HqciJtfz7o,https://t.co/hqcijtfz7o,https://t.co/hqcijtfz7o,https://t.co/hqcijtfz7o,DET,False,False
@MarionChvv,@marionchvv,@marionchvv,@marionchvv,NOUN,False,False
@EtienneD974,@etienned974,@etienned974,@etienned974,DET,False,False
Merci,merci,merci,merci,NOUN,True,True
!,!,!,!,PUNCT,False,False
!,!,!,!,PUNCT,False,False
@terracid,@terracid,@terracid,@terracid,PRON,False,False
@F_Descraques,@f_descraques,@f_descraque,@f_descraque,NOUN,False,False
Tout,tout,tout,tout,ADJ,True,True
ce,ce,ce,ce,PRON,True,True
qui,qui,qui,qui,PRON,True,True
comprend,comprend,comprendre,comprendre,VERB,True,False
«,«,«,«,PUNCT,False,False
 , ,  ,  ,SPACE,False,False
pendant,pendant,pendant,pendant,ADP,True,True
24h,24h,24h,24h,DET,False,False
 , ,  ,  ,SPACE,False,False
»,»,»,»,DET,False,False
c’,c’,c’,c’,NOUN,False,True
est,est,être,être,AUX,True,True
ma,ma,mon,mon,DET,True,True
cam,cam,cam,cam,ADJ,True,False
@SylvainPaley,@sylvainpaley,@sylvainpaley,@sylvainpaley,NOUN,False,False
@blabloblu,@blabloblu,@blabloblu,@blabloblu,ADP,False,False
@LamHua,@lamhua,@lamhua,@lamhua,NOUN,False,False
Hâte,hâte,Hâte,hâte,PROPN,True,False
d’,d’,d’,d’,VERB,False,True
écouter,écouter,écouter,écouter,VERB,True,False
ça,ça,cela,cela,PRON,True,True
!,!,!,!,PUNCT,False,False
Il,il,il,il,PRON,True,True
n’,n’,n’,n’,ADV,False,True
y,y,y,y,PRON,True,False
aura,aura,avoir,avoir,VERB,True,True
pas,pas,pas,pas,ADV,True,True
d’,d’,d’,d’,VERB,False,True
émission,émission,émission,émission,NOUN,True,False
301,301,301,301,NUM,False,False
vues,vues,vue,vue,NOUN,True,False
lundi,lundi,lundi,lundi,NOUN,True,False
soir,soir,soir,soir,NOUN,True,False
